"FactionID","FactionName","FleetID","FleetName","ShipID","ShipName","TemplateName","CombatPower"
"4092","the Servants","73802","Sierra-50","73801","Wyvern","SubmitCouncilShipTemplate119","964"
"4092","the Servants","75971","Sierra-52","75970","Sagiri","SubmitCouncilShipTemplate352","926"
"4092","the Servants","99139","Sierra-64","99046","Chernobog","SubmitCouncilShipTemplate133 Refit 1513","905"
"4092","the Servants","73802","Sierra-50","99492","Dionysus","SubmitCouncilShipTemplate19","805"
"4092","the Servants","65750","Sierra-42","65749","Naganami","SubmitCouncilShipTemplate441","514"
"4092","the Servants","73802","Sierra-50","97757","Behemoth","SubmitCouncilShipTemplate145","494"
"4092","the Servants","75287","Sierra-51","72400","Jiangshi","SubmitCouncilShipTemplate212 Refit 1470","491"
"4092","the Servants","81236","Sierra-54","81235","Banshee","SubmitCouncilShipTemplate212 Refit 1486","491"
"4092","the Servants","81241","Sierra-56","81240","Seraph","SubmitCouncilShipTemplate212 Refit 1486","491"
"4092","the Servants","73802","Sierra-50","81237","Hiryu","SubmitCouncilShipTemplate212 Refit 1486","491"
"4092","the Servants","52501","Sierra-35","52500","Dullahan","SubmitCouncilShipTemplate212","491"
"4092","the Servants","99139","Sierra-64","72745","Kirin","SubmitCouncilShipTemplate212 Refit 1470","491"
"4092","the Servants","99139","Sierra-64","72742","Sekiryu","SubmitCouncilShipTemplate212 Refit 1470","491"
"4092","the Servants","92663","Sierra-59","92662","Ōnami","SubmitCouncilShipTemplate8","464"
"4092","the Servants","98022","Sierra-61","98021","Nenohi","SubmitCouncilShipTemplate395","374"
"4092","the Servants","75287","Sierra-51","75286","Akigumo","SubmitCouncilShipTemplate395","374"
"4092","the Servants","75287","Sierra-51","81447","Kazagumo","SubmitCouncilShipTemplate525","374"
"4092","the Servants","75287","Sierra-51","98646","Matsukaze","SubmitCouncilShipTemplate395","374"
"4092","the Servants","99139","Sierra-64","72417","Urunami","SubmitCouncilShipTemplate412","93"
"4092","the Servants","35674","Sierra-3","35673","Sphinx","SubmitCouncilShipTemplate36","51"
"4092","the Servants","37590","Sierra-10","37589","Goliath","SubmitCouncilShipTemplate36","51"
"4092","the Servants","99139","Sierra-64","62562","Wendigo","SubmitCouncilShipTemplate415","14"
"4092","the Servants","48927","Sierra-31","48928","Makigumo","SubmitCouncilShipTemplate46","4"
